source,stage,expected,observed
ensemble,raw,0.01,0.0
ensemble,raw,0.02,0.0
ensemble,raw,0.03,0.0
ensemble,raw,0.04,0.0
ensemble,raw,0.05,0.0038461538461538464
ensemble,raw,0.060000000000000005,0.0038461538461538464
ensemble,raw,0.06999999999999999,0.015384615384615385
ensemble,raw,0.08,0.015384615384615385
ensemble,raw,0.09,0.019230769230769232
ensemble,raw,0.09999999999999999,0.019230769230769232
ensemble,raw,0.11,0.019230769230769232
ensemble,raw,0.12,0.019230769230769232
ensemble,raw,0.13,0.019230769230769232
ensemble,raw,0.14,0.019230769230769232
ensemble,raw,0.15000000000000002,0.019230769230769232
ensemble,raw,0.16,0.019230769230769232
ensemble,raw,0.17,0.019230769230769232
ensemble,raw,0.18000000000000002,0.019230769230769232
ensemble,raw,0.19,0.023076923076923078
ensemble,raw,0.2,0.023076923076923078
ensemble,raw,0.21000000000000002,0.023076923076923078
ensemble,raw,0.22,0.023076923076923078
ensemble,raw,0.23,0.026923076923076925
ensemble,raw,0.24000000000000002,0.026923076923076925
ensemble,raw,0.25,0.026923076923076925
ensemble,raw,0.26,0.026923076923076925
ensemble,raw,0.27,0.03076923076923077
ensemble,raw,0.28,0.03076923076923077
ensemble,raw,0.29000000000000004,0.03076923076923077
ensemble,raw,0.3,0.03461538461538462
ensemble,raw,0.31,0.03461538461538462
ensemble,raw,0.32,0.038461538461538464
ensemble,raw,0.33,0.038461538461538464
ensemble,raw,0.34,0.038461538461538464
ensemble,raw,0.35000000000000003,0.04230769230769231
ensemble,raw,0.36000000000000004,0.04230769230769231
ensemble,raw,0.37,0.04230769230769231
ensemble,raw,0.38,0.04230769230769231
ensemble,raw,0.39,0.046153846153846156
ensemble,raw,0.4,0.046153846153846156
ensemble,raw,0.41000000000000003,0.05
ensemble,raw,0.42000000000000004,0.05
ensemble,raw,0.43,0.05384615384615385
ensemble,raw,0.44,0.05384615384615385
ensemble,raw,0.45,0.05384615384615385
ensemble,raw,0.46,0.06153846153846154
ensemble,raw,0.47000000000000003,0.06153846153846154
ensemble,raw,0.48000000000000004,0.06153846153846154
ensemble,raw,0.49,0.06538461538461539
ensemble,raw,0.5,0.06923076923076923
ensemble,raw,0.51,0.06923076923076923
ensemble,raw,0.52,0.07307692307692308
ensemble,raw,0.53,0.07307692307692308
ensemble,raw,0.54,0.07307692307692308
ensemble,raw,0.55,0.07692307692307693
ensemble,raw,0.56,0.08461538461538462
ensemble,raw,0.5700000000000001,0.08846153846153847
ensemble,raw,0.5800000000000001,0.1076923076923077
ensemble,raw,0.59,0.11923076923076924
ensemble,raw,0.6,0.11923076923076924
ensemble,raw,0.61,0.11923076923076924
ensemble,raw,0.62,0.11923076923076924
ensemble,raw,0.63,0.12307692307692308
ensemble,raw,0.64,0.12307692307692308
ensemble,raw,0.65,0.12307692307692308
ensemble,raw,0.66,0.12307692307692308
ensemble,raw,0.67,0.12307692307692308
ensemble,raw,0.68,0.12307692307692308
ensemble,raw,0.6900000000000001,0.12307692307692308
ensemble,raw,0.7000000000000001,0.12307692307692308
ensemble,raw,0.7100000000000001,0.12692307692307692
ensemble,raw,0.72,0.1346153846153846
ensemble,raw,0.73,0.1346153846153846
ensemble,raw,0.74,0.1346153846153846
ensemble,raw,0.75,0.1346153846153846
ensemble,raw,0.76,0.13846153846153847
ensemble,raw,0.77,0.1423076923076923
ensemble,raw,0.78,0.14615384615384616
ensemble,raw,0.79,0.14615384615384616
ensemble,raw,0.8,0.15
ensemble,raw,0.81,0.15
ensemble,raw,0.8200000000000001,0.15
ensemble,raw,0.8300000000000001,0.15
ensemble,raw,0.8400000000000001,0.15
ensemble,raw,0.85,0.15384615384615385
ensemble,raw,0.86,0.1576923076923077
ensemble,raw,0.87,0.1576923076923077
ensemble,raw,0.88,0.16153846153846155
ensemble,raw,0.89,0.16923076923076924
ensemble,raw,0.9,0.18076923076923077
ensemble,raw,0.91,0.18461538461538463
ensemble,raw,0.92,0.19230769230769232
ensemble,raw,0.93,0.20384615384615384
ensemble,raw,0.9400000000000001,0.2153846153846154
ensemble,raw,0.9500000000000001,0.23846153846153847
ensemble,raw,0.9600000000000001,0.24615384615384617
ensemble,raw,0.97,0.25769230769230766
ensemble,raw,0.98,0.3
ensemble,raw,0.99,0.3230769230769231
model,raw,0.01,0.007692307692307693
model,raw,0.02,0.019230769230769232
model,raw,0.03,0.019230769230769232
model,raw,0.04,0.026923076923076925
model,raw,0.05,0.03461538461538462
model,raw,0.060000000000000005,0.04230769230769231
model,raw,0.06999999999999999,0.05384615384615385
model,raw,0.08,0.06538461538461539
model,raw,0.09,0.08076923076923077
model,raw,0.09999999999999999,0.08461538461538462
model,raw,0.11,0.1076923076923077
model,raw,0.12,0.11538461538461539
model,raw,0.13,0.12692307692307692
model,raw,0.14,0.1423076923076923
model,raw,0.15000000000000002,0.1576923076923077
model,raw,0.16,0.16538461538461538
model,raw,0.17,0.18461538461538463
model,raw,0.18000000000000002,0.20384615384615384
model,raw,0.19,0.2230769230769231
model,raw,0.2,0.23076923076923078
model,raw,0.21000000000000002,0.24615384615384617
model,raw,0.22,0.24615384615384617
model,raw,0.23,0.2653846153846154
model,raw,0.24000000000000002,0.27307692307692305
